id,question,answer,legal_reference,direction,language
105,ما نص المادة 608 من القانون المدني المصري؟,(١) إذا كان الإيجار معين المدة ، جاز لكل من المتعاقدين أن يطلب إنهاء قبل انقضاء مدته إذا جدت ظروف خطيرة غير متوقعة من شأنها أن تجعل تنفيذ الإيجار من مبدأ الأمر أو فى أثناء سريانه مرهقاً ، على أن يراعى من يطلب إنهاء العقد مواعيد التنبيه بالإخلاء المبينة بالمادة ٣٦٥ ، وعلى أن يعوض الطرف الأخر تعويضاً عادلا . (٢) فإذا كان المؤجر هو الذى يطلب إنهاء العقد ، فلا يجبر المستأجر على رد العين المؤجرة حتى يستوفى التعويض أو يحصل على تأمين كاف .,مادة 608,forward,ar
106,What does Article 608 of the Egyptian Civil Code state?,"When a lease is made for a fixed period, either of the contracting parties may, if serious and unforeseen circumstances arise of a such nature as to render, from the commencement of or during the lease, the performance too burdensome, demand the termination of the lease before its expiration, provided he gives notice in accordance with the delays provided for in Article 563 and pays equitable compensation to the other party. If it is the lessor who demands termination of the lease, the lessee will not be compelled to hand back the leased property before he has been compensated or obtained adequate guarantee.",Article 608,forward,en
107,في أي مادة من القانون المدني المصري ورد هذا النص: «(١) إذا كان الإيجار معين المدة ، جاز لكل من المتعاقدين أن يطلب إنهاء قبل انقضاء مدته إذا جدت ظروف خطيرة غير متوقعة من شأنها أن تجعل تنفيذ …»؟,المادة 608,مادة 608,reverse,ar
108,"In which article of the Egyptian Civil Code does the following text appear: ""When a lease is made for a fixed period, either of the contracting parties may, if serious and unforeseen circumstances arise of a such …""?",Article 608,Article 608,reverse,en
109,ما نص المادة 629 من القانون المدني المصري؟,ولاية قبض الأجرة للناظر لا للموقوف عليه إلا أن أذن له الناظر فى قبضها.,مادة 629,forward,ar
110,What does Article 629 of the Egyptian Civil Code state?,"The Nazir is the person entitled to receive the rent, and payment must not be made to the beneficiary without the consent of the Nazir.",Article 629,forward,en
111,في أي مادة من القانون المدني المصري ورد هذا النص: «ولاية قبض الأجرة للناظر لا للموقوف عليه إلا أن أذن له الناظر فى قبضها.»؟,المادة 629,مادة 629,reverse,ar
112,"In which article of the Egyptian Civil Code does the following text appear: ""The Nazir is the person entitled to receive the rent, and payment must not be made to the beneficiary without the consent of the Nazir.""?",Article 629,Article 629,reverse,en
113,ما نص المادة 650 من القانون المدني المصري؟,(١ (إذا ثبت أثناء سير العمل أن المقاول يقوم به على وجه معيب أو مناف لعقد ، جاز لرب العمل أن ينذره بأن يعدل من طريقة التنفيذ خلال معقول يعينه له .فإذا انقضى الأجل دون أن يرجع المقاول إلى الطريقة الصحيحة ، جاز لرب العمل أن يطلب إما فسخ العقد وإما أن يعهد إلى مقاول آخر بإنجاز العمل على نفقة المقاول الأول طبقاً لأحكام المادة ٩٠٢. (٢ (على أنه يجوز طلب فسخ العقد فى الحال دون حاجة إلى تعيين أجل إذا كان إصلاح ما فى طريقة التنفيذ من عيب مستحيلا.,مادة 650,forward,ar
114,What does Article 650 of the Egyptian Civil Code state?,"If, in the course of execution, it is established that the contractor is performing the work in a manner that is defective or contrary to the agreement, the master may formally summon him to alter, within a reasonable period fixed by him, the manner in which he is performing the work. If after the expiration of such a period the contractor fails to adopt the manner of working, the master may either demand resiliation of the contract or the handing over of the works to another contractor at the cost of the first contractor, in accordance with the provisions of Article 209. Immediate resiliation of the contract may, however, be demanded without it being necessary to grant any delay, when rectification of the defective manner of performance is impossible.",Article 650,forward,en
115,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (إذا ثبت أثناء سير العمل أن المقاول يقوم به على وجه معيب أو مناف لعقد ، جاز لرب العمل أن ينذره بأن يعدل من طريقة التنفيذ خلال معقول …»؟,المادة 650,مادة 650,reverse,ar
116,"In which article of the Egyptian Civil Code does the following text appear: ""If, in the course of execution, it is established that the contractor is performing the work in a manner that is defective or contrary to …""?",Article 650,Article 650,reverse,en
117,ما نص المادة 671 من القانون المدني المصري؟,(١ (يكون لتعريفات الأسعار قررتها السلطة العامة قوة القانون بالنسبة إلى العقود التى يبرمها الملتزم مع عملائه ، فلا يجوز للمتعاقدين أن يتفقا على ما يخالفها. (٢ (ويجوز إعادة النظر فى هذه القوائم وتعديلها .فإذا عدلت الأسعار المعمول بها وصدق على تعديل الأسعار الجديدة دون أثر رجعى من الوقت,مادة 671,forward,ar
118,What does Article 671 of the Egyptian Civil Code state?,"The rates laid down by the public authority will have force of law with regard to contracts entered into between the concessionaire and consumers; the parties shall not have the right to depart therefrom by agreement. The rates may be revised or modified. If the rates are الذى عينه قرار التصديق لسريا نها ، وما يكون جارياً وقت التعديل من اشتراكات فى المرافق العام يسرى عليه هذا التعديل من زيادة أو نقص فى الأجور وذلك فيما بقى من المدة بعد التاريخ المعين لسريان الأسعار الجديدة . modified and such modification is ratified, the new rates become applicable, but without retroactive effect, from the date fixed for its coming into force by the act of ratification. Any contracts running (abonnements) at the time of modification of the rates will be subject to the increase or reduction of charges for the period of the contract unexpired at the date of coming into force of the new rates.",Article 671,forward,en
119,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يكون لتعريفات الأسعار قررتها السلطة العامة قوة القانون بالنسبة إلى العقود التى يبرمها الملتزم مع عملائه ، فلا يجوز للمتعاقدين أن يتفقا …»؟,المادة 671,مادة 671,reverse,ar
120,"In which article of the Egyptian Civil Code does the following text appear: ""The rates laid down by the public authority will have force of law with regard to contracts entered into between the concessionaire and …""?",Article 671,Article 671,reverse,en
121,ما نص المادة 692 من القانون المدني المصري؟,إذا حضر العامل أو المستخدم لمزاولة عمله فى الفترة اليومية التى يلزمه بها عقد العمل ، أو أعلن أنه مستعد لمزاولة عمله فى هذه الفترة ولم يمنعه من العمل إلا سبب راجع إلى رب العمل ، كان له الحق فى أجر ذلك اليوم .,مادة 692,forward,ar
122,What does Article 692 of the Egyptian Civil Code state?,"When a workman or an employee comes to perform a day's work as stipulated in his contract of service, or declares his readiness to perform a day's work and is only prevented from so doing by a cause imputable to the master, he is entitled to his salary for the day.",Article 692,forward,en
123,في أي مادة من القانون المدني المصري ورد هذا النص: «إذا حضر العامل أو المستخدم لمزاولة عمله فى الفترة اليومية التى يلزمه بها عقد العمل ، أو أعلن أنه مستعد لمزاولة عمله فى هذه الفترة ولم يمنعه …»؟,المادة 692,مادة 692,reverse,ar
124,"In which article of the Egyptian Civil Code does the following text appear: ""When a workman or an employee comes to perform a day's work as stipulated in his contract of service, or declares his readiness to perform …""?",Article 692,Article 692,reverse,en
125,ما نص المادة 713 من القانون المدني المصري؟,تطبق المواد من ٤٠١ إلى ٧٠١ الخاصة بالنيابة فى علاقة الموكل والوكيل بالغير الذى يتعامل مع الوكيل.,مادة 713,forward,ar
126,What does Article 713 of the Egyptian Civil Code state?,"Articles 104 to 107, with regard to representation, apply to the relationship of a mandator and of a mandatary with third parties dealing with the mandatary.",Article 713,forward,en
127,في أي مادة من القانون المدني المصري ورد هذا النص: «تطبق المواد من ٤٠١ إلى ٧٠١ الخاصة بالنيابة فى علاقة الموكل والوكيل بالغير الذى يتعامل مع الوكيل.»؟,المادة 713,مادة 713,reverse,ar
128,"In which article of the Egyptian Civil Code does the following text appear: ""Articles 104 to 107, with regard to representation, apply to the relationship of a mandator and of a mandatary with third parties dealing …""?",Article 713,Article 713,reverse,en
129,ما نص المادة 734 من القانون المدني المصري؟,)١ (يلتزم الحارس بالمحافظة على الأموال المعهودة إليه حراستها وبإدارة هذه الأموال ، ويجب أن يبذل فى كل ذلك عناية الرجل المعتاد . )٢ (ولا يجوز له بطريق مباشر أو غير مباشر أن يحل محله فى أداء مهمته كلها أو بعضها أحد ذوى الشأن دون رضاء الآخرين.,مادة 734,forward,ar
130,What does Article 734 of the Egyptian Civil Code state?,"A receiver is bound to ensure the preservation and administration of the property entrusted to him with the diligence of a reasonable person. A receiver may not, either directly or indirectly, appoint one of the interested parties in his place to carry out the whole or part of his mission, without the consent of the other parties.",Article 734,forward,en
131,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يلتزم الحارس بالمحافظة على الأموال المعهودة إليه حراستها وبإدارة هذه الأموال ، ويجب أن يبذل فى كل ذلك عناية الرجل المعتاد . )٢ (ولا …»؟,المادة 734,مادة 734,reverse,ar
132,"In which article of the Egyptian Civil Code does the following text appear: ""A receiver is bound to ensure the preservation and administration of the property entrusted to him with the diligence of a reasonable …""?",Article 734,Article 734,reverse,en
133,ما نص المادة 755 من القانون المدني المصري؟,)١ (يقع باطلا التأمين على حياة الغير ما لم يوافق الغير عليه كتابة قبل إبرام العقد . فإذا كان هذا الغير لا تتوافر فيه الأهلية فلا يكون العقد صحيحاً إلا بموافقة من يمثله قانوناً . )٢ (وتكون هذه الموافقة لازمة لصحة حوالة الحق فى الاستفادة من التأمين أو لصحة رهن هذا الحق.,مادة 755,forward,ar
134,What does Article 755 of the Egyptian Civil Code state?,The assurance of the life of a third party is void unless such third party consents thereto in writing prior to the issue of the policy. If such third party is under legal incapacity the contract will not be valid unless consented to by his legal representative. Such consent is also necessary for the validity of the assignment of the right to the benefit under the assurance or for the validity of a mortgage on such a right.,Article 755,forward,en
135,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يقع باطلا التأمين على حياة الغير ما لم يوافق الغير عليه كتابة قبل إبرام العقد . فإذا كان هذا الغير لا تتوافر فيه الأهلية فلا يكون العقد …»؟,المادة 755,مادة 755,reverse,ar
136,"In which article of the Egyptian Civil Code does the following text appear: ""The assurance of the life of a third party is void unless such third party consents thereto in writing prior to the issue of the policy. If …""?",Article 755,Article 755,reverse,en
137,ما نص المادة 776 من القانون المدني المصري؟,لا تكون الكفالة صحيحة إلا إذا كان الإلزام المكفول صحيحا .,مادة 776,forward,ar
138,What does Article 776 of the Egyptian Civil Code state?,Suretyship is valid only if the obligation to which it applies is valid.,Article 776,forward,en
139,في أي مادة من القانون المدني المصري ورد هذا النص: «لا تكون الكفالة صحيحة إلا إذا كان الإلزام المكفول صحيحا .»؟,المادة 776,مادة 776,reverse,ar
140,"In which article of the Egyptian Civil Code does the following text appear: ""Suretyship is valid only if the obligation to which it applies is valid.""?",Article 776,Article 776,reverse,en
141,ما نص المادة 797 من القانون المدني المصري؟,تجوز كفالة الكفيل ، وفى هذه الحالة لا يجوز للدائن أن يردع على كفيل الكفيل قبل رجوعه على الكفيل إلا إذا كان كفيل الكفيل متضامنا مع الكفيل .,مادة 797,forward,ar
142,What does Article 797 of the Egyptian Civil Code state?,"A surety may be guaranteed by another surety. In such a case, the creditor may not call upon the principal surety’s guarantee until he has taken action against the principal surety, unless two sureties are themselves jointly and severally liable.",Article 797,forward,en
143,في أي مادة من القانون المدني المصري ورد هذا النص: «تجوز كفالة الكفيل ، وفى هذه الحالة لا يجوز للدائن أن يردع على كفيل الكفيل قبل رجوعه على الكفيل إلا إذا كان كفيل الكفيل متضامنا مع الكفيل .»؟,المادة 797,مادة 797,reverse,ar
144,"In which article of the Egyptian Civil Code does the following text appear: ""A surety may be guaranteed by another surety. In such a case, the creditor may not call upon the principal surety’s guarantee until he has …""?",Article 797,Article 797,reverse,en
145,ما نص المادة 818 من القانون المدني المصري؟,)١ (ليس لجار أن يجبر جاره على تحويط ملكه ولا على الترول عن جزء من حائط أو من الأرض التى عليها الحائط إلا فى الحالة المذكورة فى المادة ٦١٨. )٢ (ومع ذلك فليس لمالك الحائط أن يهدمه مختارا دون عذر قوى أن كان هذا يضر الجار الذى يستر ملكه بالحائط .,مادة 818,forward,ar
146,What does Article 818 of the Egyptian Civil Code state?,"An owner cannot compel his neighbors to walk in his property to assign to him a part of a wall or of the land on which the wall is constructed, except in a case provided for in Article 816. An owner of a wall may not, however, demolish the wall on his own initiative if the demolition injures his neighbor whose property is closed in by it, unless he has good reason for so doing.",Article 818,forward,en
147,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (ليس لجار أن يجبر جاره على تحويط ملكه ولا على الترول عن جزء من حائط أو من الأرض التى عليها الحائط إلا فى الحالة المذكورة فى المادة ٦١٨. …»؟,المادة 818,مادة 818,reverse,ar
148,"In which article of the Egyptian Civil Code does the following text appear: ""An owner cannot compel his neighbors to walk in his property to assign to him a part of a wall or of the land on which the wall is …""?",Article 818,Article 818,reverse,en
149,ما نص المادة 839 من القانون المدني المصري؟,)١ (متى انتهى الفصل فى المنازعات وكانت الحصص قد عينت بطريق التجنيب ، أصدرت المحكمة الجزئية حكما بإعطاء كل شريك النصيب المفرز الذى إليه . )٢ (فإن كانت الحصص لم تعين بطريق التجنيب ، تجرى القسمة بطريق الاقتراع ، وتثبت المحكمة ذلك فى محضرها وتصدر حكما بإعطاء كل شريك نصيبه المفرز .,مادة 839,forward,ar
150,What does Article 839 of the Egyptian Civil Code state?,"Upon the disputes being disposed of and the separate lots allocated directly, the Summary Court will give judgment allocating to each owner the divided part which devolves on him. If there has been no direct allotment of the separate parts, the partition of the property will be effected by drawing lots. The Court will draw up a proces-verbal thereof and give judgment allocating to each co-owner his divided part.",Article 839,forward,en
151,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (متى انتهى الفصل فى المنازعات وكانت الحصص قد عينت بطريق التجنيب ، أصدرت المحكمة الجزئية حكما بإعطاء كل شريك النصيب المفرز الذى إليه . )٢ …»؟,المادة 839,مادة 839,reverse,ar
152,"In which article of the Egyptian Civil Code does the following text appear: ""Upon the disputes being disposed of and the separate lots allocated directly, the Summary Court will give judgment allocating to each owner …""?",Article 839,Article 839,reverse,en
153,ما نص المادة 860 من القانون المدني المصري؟,)١ (إذا انهدم البناء وجب على صاحب السفل أن يعيد بناء سفله فإذا امتنع جاز للقاضى أن يأمر ببيع السفل إلا إذا طلب صاحب العلو أن يعيد هو بناء السفل على نفقة صاحبه . )٢ (وفى الحالة الأخيرة يجوز لصاحب العلو أن يمنع احب السفل من السكنى والانتفاع حتى يؤدى ما فى ذمته ، ويجوز له أيضا أن يحصل على إذن فى إيجار السفل أو سكناه استيفاء لحقه .,مادة 860,forward,ar
154,What does Article 860 of the Egyptian Civil Code state?,"If the building falls down, the owner of the lower storey is bound to rebuild his storey, failing which, the Judge may order the sale of the lower storey, unless the owner of the upper storey offers to rebuild the lower storey himself at the cost of the owner of the lower storey. In this latter event, the owner of the upper storey may refuse to allow the owner of the lower storey to occupy or make use of his storey until he has repaid the amount of his debt. He may also obtain authority to let or to occupy the lower storey in repayment of the amount due to him.",Article 860,forward,en
155,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (إذا انهدم البناء وجب على صاحب السفل أن يعيد بناء سفله فإذا امتنع جاز للقاضى أن يأمر ببيع السفل إلا إذا طلب صاحب العلو أن يعيد هو بناء …»؟,المادة 860,مادة 860,reverse,ar
156,"In which article of the Egyptian Civil Code does the following text appear: ""If the building falls down, the owner of the lower storey is bound to rebuild his storey, failing which, the Judge may order the sale of …""?",Article 860,Article 860,reverse,en
157,ما نص المادة 882 من القانون المدني المصري؟,(١ (على المصفى أن يقوم فى الحال بالصرف من مال التركة لتسديد نفقات تجهيز الميت ونفقات مأتمه بما يناسب حالته ، وعليه أيضا أن يستصدر أمرا من قاضى الأمور الوقتية بصرف نفقة كافية بالقدر المقبول من هذا المال إلى من كان المورث يعولهم من ورثته حتى تنتهي التصفية ، على أن تخصم النفقة التى يستولي عليها كل وارث من نصيبه فى الإرث.,مادة 882,forward,ar
158,What does Article 882 of the Egyptian Civil Code state?,"The administrator must immediately pay, out of the assets of the estate, burial and funeral expenses in accordance with the social standing of the deceased. He must also obtain an order from the “Juge de Service” (Judge in Chambers) authorizing him to make, pending (٢ (وكل منازعة تتعلق بهذه النفقة يفصل فيها قاضى الأمور الوقتية . the final winding up, an adequate alimentary allowance to such heirs as were supported by the deceased and to deduct such payments from the share in the estate of each heir to whom such alimentary allowance is made. Any dispute arising as regards such an allowance shall be settled by the Juge de Service. جرد التركة Inventory of the Estate",Article 882,forward,en
159,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (على المصفى أن يقوم فى الحال بالصرف من مال التركة لتسديد نفقات تجهيز الميت ونفقات مأتمه بما يناسب حالته ، وعليه أيضا أن يستصدر أمرا من …»؟,المادة 882,مادة 882,reverse,ar
160,"In which article of the Egyptian Civil Code does the following text appear: ""The administrator must immediately pay, out of the assets of the estate, burial and funeral expenses in accordance with the social standing …""?",Article 882,Article 882,reverse,en
161,ما نص المادة 903 من القانون المدني المصري؟,)١ (إذا كان طلب القسمة واجب القبول ، تولى المصفى إجراء القسمة بطريقة ودية على ألا تصبح هذه القسمة نهائية ألا بعد أن يقرها الورثة بالإجماع . )٢ (فإذا لم ينعقد إجماعهم على ذلك ، فعلى المصفى أن يرفع على نفقة التركة دعوى بالقسمة وفقا لأحكام القانون ، وتستترل نفقات الدعوى من انصباء المتقاسمين .,مادة 903,forward,ar
162,What does Article 903 of the Egyptian Civil Code state?,"When a demand for a division should be admitted, the administrator will proceed with the division amicably, but this division will only become final upon the unanimous approval of the heirs. If the heirs do not unanimously approve the division, the administrator must bring an action for the division in accordance with the provisions of the law; the cost of this action will be charged to the estate and deducted from the hereditary shares of the co-sharers.",Article 903,forward,en
163,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (إذا كان طلب القسمة واجب القبول ، تولى المصفى إجراء القسمة بطريقة ودية على ألا تصبح هذه القسمة نهائية ألا بعد أن يقرها الورثة بالإجماع . …»؟,المادة 903,مادة 903,reverse,ar
164,"In which article of the Egyptian Civil Code does the following text appear: ""When a demand for a division should be admitted, the administrator will proceed with the division amicably, but this division will only …""?",Article 903,Article 903,reverse,en
165,ما نص المادة 924 من القانون المدني المصري؟,)١ (إذا أقام شخص من عنده منشآت على أرض يعلم أنها مملوكة لغيره دون رضاء صاحب الأرض ، كان لهذا ان يطلب إزالة المنشآت على نفقة من أقامها مع التعويض إن كان له وجه ، وذلك فى ميعاد سنة من اليوم الذى يعلم فيه بإقامة المنشآت أو أن يطلب استبقاء المنشآت مقابل دفع قيمتها مستحقة الإزالة ، أو دفع مبلغ يساوى ما زاد فى ثمن الأرض بسبب هذه المنشآت . )٢ (ويجوز لمن أقام المنشآت أن يطلب نزعها إن كان ذلك لا يلحق بالأرض ضررا ، إلا إذا أختار صاحب الأرض أن يستبقى المنشآت طبقا لأحكام الفقرة السابقة .,مادة 924,forward,ar
166,What does Article 924 of the Egyptian Civil Code state?,"When a third party caries out works with his own materials on land which he knows is not his property, without the consent of the owner of the land, the owner of the land may, within a year from the day on which he learns of the execution of the works, demand either their removal at the cost of the third party who erected them, together with an indemnity, if indemnity is due, or their retention against payment of their break-up value or of a sum equal to the increased value they have given to the land. A third party who carried out the works may claim the right to remove them if he does not cause any damage to the land in so doing., unless the owner of the land chooses to keep the works in accordance with the provisions of the preceding article.",Article 924,forward,en
167,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (إذا أقام شخص من عنده منشآت على أرض يعلم أنها مملوكة لغيره دون رضاء صاحب الأرض ، كان لهذا ان يطلب إزالة المنشآت على نفقة من أقامها مع …»؟,المادة 924,مادة 924,reverse,ar
168,"In which article of the Egyptian Civil Code does the following text appear: ""When a third party caries out works with his own materials on land which he knows is not his property, without the consent of the owner of …""?",Article 924,Article 924,reverse,en
169,ما نص المادة 945 من القانون المدني المصري؟,)١ (يحل الشفيع قبل البائع محل المشترى فى جميع حقوقه والتزاماته . )٢ (وإنما لا يحق له الانتفاع بالأجل الممنوح للمشترى فى دفع الثمن إلا برضاء البائع . )٣ (وإذا أستحق العقار للغير بعد أخذه بالشفعة ، فليس للشفيع أن يرجع إلا على البائع .,مادة 945,forward,ar
170,What does Article 945 of the Egyptian Civil Code state?,"The preemptor is, vis-a-vis the vendor, substituted for the purchaser, in all his rights and obligations. The preemptor is not, however, entitled to benefit from the delay granted to the purchaser for payment of the price unless he obtains the consent of the vendor. If, after preemption, the property is claimed by a third party, the preemptor will only have a right of action against the vendor.",Article 945,forward,en
171,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يحل الشفيع قبل البائع محل المشترى فى جميع حقوقه والتزاماته . )٢ (وإنما لا يحق له الانتفاع بالأجل الممنوح للمشترى فى دفع الثمن إلا برضاء …»؟,المادة 945,مادة 945,reverse,ar
172,"In which article of the Egyptian Civil Code does the following text appear: ""The preemptor is, vis-a-vis the vendor, substituted for the purchaser, in all his rights and obligations. The preemptor is not, however, …""?",Article 945,Article 945,reverse,en
173,ما نص المادة 967 من القانون المدني المصري؟,تبقى الحيازة محتفظة بالصفة التى بدأت بها وقت كسبها ، ما لم يقم الدليل على عكس ذلك .,مادة 967,forward,ar
174,What does Article 967 of the Egyptian Civil Code state?,"Subject to proof to the contrary, possession continues to have the same character that it had at the time it was acquired. آثار الحيازة التقادم المكسب Effects of Possession. Acquisitive Prescription",Article 967,forward,en
175,في أي مادة من القانون المدني المصري ورد هذا النص: «تبقى الحيازة محتفظة بالصفة التى بدأت بها وقت كسبها ، ما لم يقم الدليل على عكس ذلك .»؟,المادة 967,مادة 967,reverse,ar
176,"In which article of the Egyptian Civil Code does the following text appear: ""Subject to proof to the contrary, possession continues to have the same character that it had at the time it was acquired. آثار الحيازة …""?",Article 967,Article 967,reverse,en
177,ما نص المادة 988 من القانون المدني المصري؟,)١ (على المنتفع أن يستعمل الشيء بحالته التى تسلمه بها ويحسب ما أعد له وأن يديره إدارة حسنه . )٢ (للمالك أن يعترض على أى استعمال غير مشروع أو غير متفق مع طبيعة الشيء ، فإذا أثبت أن حقوقه فى خطر جاز له أن يطالب بتقديم تأمينات ، فإن لم يقدمها المنتفع أو ظل على الرغم من اعتراض المالك يستعمل العين استعمالا غير مشروع أو غير متفق مع طبيعتها . فللقاضي أن يترع هذه العين من تحت يده وأن يسلمها إلى آخر يتولى إدارتها ، بل له,مادة 988,forward,ar
178,What does Article 988 of the Egyptian Civil Code state?,"The usufructuary must use the property in the state in which he has received if and according to the object for which it was intended; he must observe the rules of good management. The owner may object to any use of the property that is unlawful or unsuitable to the nature of the property. If the owner proves that his right s are endangered, he تبعا لخطورة الحال أن يحكم بانتهاء حق الانتفاع دون إخلال بحقوق الغير . may demand security and if the usufructuary does not provide such security or if, in spite of the objections of the owner, he continues to use the property unlawfully or in a manner unsuitable to its nature, the Judge may take the property from him and entrust it to a third party for its management; the Judge may also, in circumstances of a serious nature, declare the usufruct extinguished, without prejudice to the rights of third parties.",Article 988,forward,en
179,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (على المنتفع أن يستعمل الشيء بحالته التى تسلمه بها ويحسب ما أعد له وأن يديره إدارة حسنه . )٢ (للمالك أن يعترض على أى استعمال غير مشروع …»؟,المادة 988,مادة 988,reverse,ar
180,"In which article of the Egyptian Civil Code does the following text appear: ""The usufructuary must use the property in the state in which he has received if and according to the object for which it was intended; he …""?",Article 988,Article 988,reverse,en
181,ما نص المادة 1009 من القانون المدني المصري؟,يجوز للمحتكر إذا لم تدفع له الأجرة ثلاث سنين متوالية أن يطلب فسخ العقد .,مادة 1009,forward,ar
182,What does Article 1009 of the Egyptian Civil Code state?,The grantor of the hekr may demand resiliation of the contract if the rent is not paid to him for three consecutive years.,Article 1009,forward,en
183,في أي مادة من القانون المدني المصري ورد هذا النص: «يجوز للمحتكر إذا لم تدفع له الأجرة ثلاث سنين متوالية أن يطلب فسخ العقد .»؟,المادة 1009,مادة 1009,reverse,ar
184,"In which article of the Egyptian Civil Code does the following text appear: ""The grantor of the hekr may demand resiliation of the contract if the rent is not paid to him for three consecutive years.""?",Article 1009,Article 1009,reverse,en
185,ما نص المادة 1031 من القانون المدني المصري؟,)١ (لا ينعقد الرهن إلا إذا كان بورقة رسمية . )٢ (ونفقات العقد على الراهن إلا إذا اتفق على غير ذلك .,مادة 1031,forward,ar
186,What does Article 1031 of the Egyptian Civil Code state?,"A mortgage can only be constituted by an authentic document. The costs of this authentic document are, in the absence of an agreement to the contrary, borne by the mortgagor.",Article 1031,forward,en
187,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (لا ينعقد الرهن إلا إذا كان بورقة رسمية . )٢ (ونفقات العقد على الراهن إلا إذا اتفق على غير ذلك .»؟,المادة 1031,مادة 1031,reverse,ar
188,"In which article of the Egyptian Civil Code does the following text appear: ""A mortgage can only be constituted by an authentic document. The costs of this authentic document are, in the absence of an agreement to …""?",Article 1031,Article 1031,reverse,en
189,ما نص المادة 1052 من القانون المدني المصري؟,)١ (يقع باطلا كل اتفاق يجعل للدائن الحق عند عدم استيفاء الدين وقت حلول أجله فى أن يتملك العقار المرهون فى نظير ثمن معلوم أيا كان ، أو فى أن يبيعه دون مراعاة للإجراءات التى فرضها القانون ولو كان هذا الاتفاق قد أبرم بعد الرهن . )٢ (ولكن يجوز بعد حلول الدين أو قسط منه الاتفاق على أن يترل المدين لدائنه عن العقار المرهون وفاء لدينه .,مادة 1052,forward,ar
190,What does Article 1052 of the Egyptian Civil Code state?,"Any agreement, even if entered into after the constitution of the mortgage, which authorizes the creditor in case of non-payment of the debt on maturity to acquire the mortgaged property at a fixed price, whatever that price may be, or to sell the mortgaged property without observing the formalities prescribed by law, is void. It may, however, be agreed after the debt or one of the installments of the debt has fallen due, that the debtor transfers to the creditor the mortgaged property in payment of the debt.",Article 1052,forward,en
191,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يقع باطلا كل اتفاق يجعل للدائن الحق عند عدم استيفاء الدين وقت حلول أجله فى أن يتملك العقار المرهون فى نظير ثمن معلوم أيا كان ، أو فى أن …»؟,المادة 1052,مادة 1052,reverse,ar
192,"In which article of the Egyptian Civil Code does the following text appear: ""Any agreement, even if entered into after the constitution of the mortgage, which authorizes the creditor in case of non-payment of the …""?",Article 1052,Article 1052,reverse,en
193,ما نص المادة 1073 من القانون المدني المصري؟,(١ (يجوز للحائز الذى سجل سند ملكيته ولم يكن طرفا فى الدعوى التى حكم فيها على المدين بالدين ، أن يتمسك بأوجه الدفع التى كان للمدين أن يتمسك بها ، إذا كان الحكم بالدين لاحقا لتسجيل سند الحائز . (٢ (ويجوز للحائز فى جميع الأحوال أن يتمسك بالدفوع التى لا يزال للمدين بعد الحكم بالدين حق التمسك بها .,مادة 1073,forward,ar
194,What does Article 1073 of the Egyptian Civil Code state?,"The third part holder who has transcribed his title deed and who was not a party to the proceedings in which judgment was given against the debtor to pay the debt may, if the judgment was subsequent to the transcription of his title, raise the defenses which could have been raised by the debtor. He may, in any case, raise the defenses which the debtor still has the right to raise after the judgment.",Article 1073,forward,en
195,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يجوز للحائز الذى سجل سند ملكيته ولم يكن طرفا فى الدعوى التى حكم فيها على المدين بالدين ، أن يتمسك بأوجه الدفع التى كان للمدين أن يتمسك …»؟,المادة 1073,مادة 1073,reverse,ar
196,"In which article of the Egyptian Civil Code does the following text appear: ""The third part holder who has transcribed his title deed and who was not a party to the proceedings in which judgment was given against the …""?",Article 1073,Article 1073,reverse,en
197,ما نص المادة 1094 من القانون المدني المصري؟,)١ (يجوز لكل ذي مصلحة أن يطلب إنقاص الاختصاص إلى الحد المناسب إذا كانت الأعيان التى رتب عليها هذا الحق تزيد قيمتها على ما يكفى لضمان الدين . )٢ (ويكون إنقاص الاختصاص إما بقصره على جزء من العقار أو العقارات التى رتب عليه ا ، أو بنقله إلى عقار أخر تكون قيمته كافية لضمان الدين . )٣ (والمصروفات اللازمة لإجراء الإنقاص ولو تم بموافقة الدائن تكون على من طلب الإنقاص .,مادة 1094,forward,ar
